Time,CMX1,CMY1,CMX2,CMY2,CMX3,CMY3
0,0.244991,-0.06819605,0.1530838,-0.08504831,0.4531896,-0.03002042
0.09875309,0.244982,-0.06805867,0.1530604,-0.08504991,0.4532131,-0.0295682
0.1992795,0.2449862,-0.06768445,0.153029,-0.08507503,0.4532989,-0.02829476
0.2976122,0.2449815,-0.06702097,0.1529728,-0.08504688,0.453412,-0.02620638
0.3986771,0.2449707,-0.06602597,0.1529018,-0.08486025,0.4535355,-0.0233901
0.498147,0.2449484,-0.06469063,0.1528203,-0.08442294,0.4536393,-0.02001195
0.5974153,0.2449407,-0.06295432,0.1527496,-0.08370448,0.4537658,-0.01595839
0.6964771,0.2449415,-0.06079236,0.1527118,-0.08273634,0.4538452,-0.01108322
0.7988725,0.2450346,-0.05812303,0.1527511,-0.08138859,0.4540588,-0.005422478
0.897307,0.2451923,-0.05509716,0.1528547,-0.07969442,0.4543391,0.0006240726
0.9991494,0.2454216,-0.05155779,0.1530476,-0.07765146,0.4546436,0.007530841
1.097277,0.2457603,-0.04779015,0.1533472,-0.07536324,0.455061,0.01465531
1.199123,0.2461878,-0.04344902,0.15373,-0.07262624,0.4555737,0.02263321
1.297489,0.2466809,-0.038856,0.1541703,-0.0696455,0.4561668,0.03091564
1.399388,0.2472524,-0.03369489,0.1547048,-0.06621554,0.4568071,0.04007141
1.497433,0.2479175,-0.02848732,0.1553423,-0.06269546,0.457525,0.04916088
1.59905,0.2486783,-0.02281089,0.1560414,-0.05877114,0.4584203,0.05884925
1.6971,0.249446,-0.01691233,0.156715,-0.05459286,0.4594052,0.06868387
1.798814,0.2502746,-0.01036229,0.1574376,-0.0498882,0.4604827,0.07946084
1.896876,0.2511891,-0.003459268,0.1582464,-0.0448508,0.4616555,0.09064984
1.998571,0.2521685,0.004134614,0.1590844,-0.0393538,0.4629797,0.1030298
2.096692,0.2531348,0.01177837,0.159867,-0.03374601,0.4644005,0.1153603
2.198563,0.2541445,0.01994626,0.160617,-0.02771391,0.4660425,0.1284613
2.296933,0.2552166,0.02813356,0.1613823,-0.02165725,0.467853,0.1415408
2.399085,0.2564815,0.03698816,0.162318,-0.0150856,0.4699089,0.1556163
2.4977,0.25771,0.04592861,0.1631863,-0.008455559,0.4719949,0.1698253
2.596415,0.258954,0.05543757,0.1640281,-0.001397981,0.4741932,0.1849122
2.698898,0.260292,0.06575977,0.1649407,0.006311769,0.4765335,0.2011827
2.797844,0.2616874,0.07607479,0.1659068,0.01402224,0.4789299,0.2173892
2.896941,0.2631223,0.08673111,0.1668823,0.02202781,0.4814306,0.2340294
2.999852,0.2646919,0.09823967,0.16794,0.03076018,0.484186,0.2518379
3.099231,0.2662179,0.1098667,0.1689977,0.03960683,0.4867932,0.269812
3.19873,0.2677516,0.1219717,0.1700628,0.04881558,0.4893995,0.2885341
3.298264,0.269265,0.134528,0.1710943,0.05839259,0.4919975,0.3079155
3.397763,0.2707742,0.1475424,0.1720979,0.06831346,0.4946306,0.3280215
3.497282,0.2722954,0.1610269,0.1731069,0.07858718,0.4972646,0.3488028
3.596814,0.2738446,0.1748814,0.1741493,0.08914005,0.4998926,0.370069
3.69635,0.2754225,0.189123,0.1752465,0.1000138,0.5024733,0.3918712
3.799619,0.2770536,0.2044155,0.1764351,0.1117028,0.5050042,0.415272
3.899245,0.2786275,0.2196825,0.1776309,0.1234259,0.5073259,0.4385398
3.998889,0.2802487,0.2354025,0.1789106,0.1355265,0.5095945,0.462378
4.098542,0.2818937,0.2514828,0.1802492,0.1478914,0.5117932,0.4867849
4.198196,0.2835649,0.2679445,0.1816179,0.1605657,0.5139943,0.5117292
4.297857,0.2851978,0.2848006,0.1830036,0.1735035,0.5160194,0.537324
4.397518,0.28682,0.3021342,0.1844464,0.1868156,0.5178696,0.5635753
4.497177,0.2884409,0.3199634,0.1859329,0.2005803,0.5196087,0.590393
4.596797,0.2900538,0.3382677,0.1874646,0.2147734,0.5212245,0.6177756
4.696343,0.2916409,0.3570569,0.1890329,0.2294031,0.5226731,0.6457416
4.799497,0.2932599,0.377049,0.1906933,0.2450243,0.5240111,0.6753332
4.898888,0.2948891,0.3967115,0.1924045,0.2604377,0.5252626,0.7043516
4.998197,0.2965267,0.4167069,0.1941988,0.2761177,0.5263567,0.7338547
5.097418,0.2981553,0.4370296,0.1960261,0.2920606,0.5273628,0.7637771
5.196535,0.2998352,0.4576595,0.1979204,0.308283,0.5283843,0.7940536
5.29918,0.3016271,0.4794133,0.1999728,0.3254516,0.5294019,0.8258032
5.398009,0.3033711,0.5008343,0.2020038,0.3423876,0.5303273,0.8569405
5.496707,0.3051366,0.5225883,0.2040739,0.3597153,0.5312451,0.8882565
5.599261,0.3069508,0.54549,0.20624,0.3780048,0.5321112,0.9211065
5.698703,0.3086996,0.5680119,0.2083873,0.3959784,0.5328242,0.9534381
5.798079,0.310453,0.59085,0.2105906,0.4142568,0.5334383,0.986088
5.897417,0.3122041,0.613977,0.2128223,0.432859,0.5339917,1.018874
5.996718,0.3140124,0.6373968,0.2151243,0.4518417,0.5345652,1.051758
6.099675,0.3158291,0.6620524,0.2175016,0.4719797,0.5350217,1.086009
6.198969,0.3175621,0.6861411,0.2198009,0.4918314,0.5354094,1.118944
6.298285,0.3193114,0.7104388,0.2221616,0.5120379,0.5357318,1.151645
6.39764,0.3210664,0.7348112,0.2245602,0.5324399,0.5360005,1.184134
6.497126,0.3228308,0.75931,0.2270182,0.5530679,0.5361922,1.216514
6.596705,0.324572,0.7839756,0.2294886,0.5739511,0.536302,1.248872
6.699831,0.3263727,0.809916,0.2320693,0.5961351,0.5363607,1.282396
6.799123,0.328151,0.8352211,0.2346241,0.6180005,0.5364076,1.314619
6.898442,0.3299475,0.8607748,0.2372197,0.6402109,0.5364321,1.346855
6.997904,0.3317343,0.8865208,0.2398242,0.6626409,0.5364189,1.37923
7.097529,0.3335319,0.912377,0.2424585,0.6851936,0.5363837,1.411711
7.197375,0.3353381,0.9386348,0.2451099,0.7081773,0.5363406,1.444488
7.297437,0.3371661,0.9653422,0.2477995,0.7317341,0.5362849,1.477445
7.397971,0.3389993,0.9925452,0.2505316,0.7559253,0.5361654,1.510551
7.498812,0.3408433,1.02021,0.2532907,0.7807202,0.5360303,1.543779
7.59988,0.3427209,1.048191,0.2560795,0.8059366,0.5359354,1.577057
7.697278,0.344575,1.07534,0.2588041,0.8304337,0.5359082,1.609236
7.798317,0.3465406,1.103795,0.2616466,0.8561103,0.5359668,1.642948
7.899441,0.3485524,1.132699,0.2645075,0.8822468,0.5361346,1.677053
7.996816,0.3505191,1.160897,0.2672697,0.9078303,0.536379,1.710107
8.097989,0.3525614,1.190562,0.2701033,0.9348852,0.5367088,1.74458
8.199089,0.3546303,1.220461,0.2729299,0.9622387,0.5371422,1.779148
8.296386,0.3567026,1.249391,0.27568,0.9887466,0.5377442,1.812549
8.397389,0.3588553,1.279694,0.278451,1.016565,0.5385543,1.847435
8.498315,0.3610905,1.310384,0.2812391,1.044848,0.5395986,1.882565
8.599057,0.3633945,1.341461,0.2840206,1.073584,0.5408769,1.91796
8.699626,0.3657393,1.372906,0.2867755,1.102759,0.5423399,1.953583
8.796323,0.3680569,1.403469,0.2894238,1.131173,0.5439314,1.988094
8.896595,0.3705374,1.435394,0.2922062,1.160859,0.5457456,2.024128
8.996714,0.3730559,1.46753,0.2949864,1.1908,0.5476938,2.060279
9.096669,0.3755646,1.499961,0.297697,1.221134,0.5497701,2.096503
9.196553,0.3781428,1.532656,0.3004499,1.251851,0.5519787,2.132719
9.296602,0.3807852,1.565677,0.3032299,1.283011,0.5543412,2.168978
9.396624,0.3834786,1.598894,0.3060092,1.314428,0.5568725,2.205291
9.496737,0.3861771,1.632327,0.3087485,1.346116,0.5595165,2.241688
9.597152,0.3889302,1.6661,0.3115147,1.378226,0.5622839,2.278242
9.697653,0.3917544,1.700177,0.3143148,1.41072,0.5652114,2.314924
9.798053,0.3945957,1.734477,0.3170777,1.443513,0.5682811,2.351652
9.898223,0.3974855,1.768936,0.3198486,1.476526,0.5714998,2.388399
9.998209,0.4004591,1.803481,0.3226862,1.509668,0.5748463,2.425143
10.09848,0.403498,1.838358,0.3255727,1.543199,0.5783003,2.462078
10.19931,0.4066023,1.8737,0.3284625,1.577307,0.5819599,2.499249
10.29673,0.4097044,1.908105,0.331338,1.610607,0.5856417,2.535221
10.39788,0.4130136,1.944123,0.3343978,1.64548,0.5895851,2.572822
10.4989,0.4163438,1.980301,0.3374769,1.680515,0.5935617,2.610549
10.59626,0.4195358,2.015422,0.3403899,1.71459,0.5974602,2.647034
10.69756,0.4229659,2.052271,0.3435368,1.750418,0.6016105,2.685152
10.7988,0.4264861,2.08936,0.3467775,1.786539,0.6058423,2.723392
10.89629,0.4299531,2.125261,0.3499747,1.821536,0.6100023,2.76034
10.99751,0.4335429,2.162751,0.3532783,1.858138,0.6143329,2.798798
11.09869,0.437186,2.200548,0.3566691,1.895115,0.6186469,2.837396
11.19983,0.4408927,2.23859,0.3601379,1.932427,0.6229931,2.876036
11.29724,0.444498,2.275333,0.3635194,1.968532,0.6272058,2.913214
11.39847,0.4482706,2.313763,0.3670642,2.006356,0.6316037,2.95194
11.49965,0.4521271,2.352535,0.3707188,2.04455,0.6360327,2.990864
11.59716,0.4558322,2.390196,0.3742601,2.081647,0.6402356,3.028639
11.69827,0.4596712,2.429347,0.3779367,2.120281,0.6445748,3.067745
11.7994,0.4635929,2.468804,0.3817293,2.159264,0.6489128,3.107036
11.89689,0.4674167,2.507178,0.3854551,2.197132,0.653085,3.145344
11.99811,0.4713597,2.547255,0.3892864,2.236619,0.6574227,3.185466
12.09931,0.4753947,2.587533,0.3932424,2.276299,0.661773,3.225742
12.19664,0.4793217,2.626566,0.3971065,2.314745,0.6659742,3.264694
12.29778,0.4833602,2.667361,0.4010755,2.354918,0.6703272,3.305357
12.39899,0.4875047,2.708276,0.4051753,2.395275,0.6747266,3.346044
12.49646,0.4915314,2.747952,0.4091608,2.434392,0.6789953,3.38548
12.59763,0.4957683,2.789487,0.4133559,2.475285,0.6834818,3.426884
12.69885,0.5000091,2.831217,0.4175455,2.516376,0.6880019,3.468562
12.79629,0.5040794,2.871701,0.4215724,2.556261,0.6923308,3.508968
12.89744,0.5083633,2.914052,0.4258194,2.597994,0.696867,3.551188
12.99861,0.5126801,2.956525,0.4301013,2.639913,0.7014294,3.593416
13.09985,0.5170189,2.999261,0.4343983,2.682153,0.7060316,3.635751
13.19731,0.5212094,3.040637,0.4385667,2.723088,0.7104359,3.676622
13.29853,0.5255494,3.083596,0.4428739,2.765649,0.7150179,3.718919
13.39978,0.5299476,3.126814,0.4472407,2.808438,0.7196581,3.761463
13.49723,0.5341809,3.168639,0.4514494,2.849761,0.7241066,3.802735
13.59838,0.538534,3.212138,0.4557658,2.892722,0.7286947,3.845688
13.69951,0.5429281,3.256052,0.4601422,2.936022,0.7332853,3.889084
13.79682,0.5471672,3.298471,0.464355,2.977806,0.7377309,3.931045
13.89783,0.5515752,3.34269,0.4687369,3.021361,0.742345,3.974772
13.99885,0.5560013,3.387277,0.4731738,3.065174,0.7468936,4.018945
14.09631,0.5602583,3.430329,0.4774283,3.107449,0.7512901,4.061698
14.19744,0.5647219,3.475326,0.4819075,3.151625,0.7558555,4.106393
14.29861,0.5691567,3.520623,0.486375,3.196085,0.7603504,4.151364
14.39979,0.5735849,3.566048,0.4908483,3.240792,0.7648064,4.196306
14.49721,0.5778655,3.610139,0.4951868,3.284226,0.7690767,4.239765
14.59839,0.5823074,3.656009,0.4996933,3.329471,0.7734949,4.284867
14.69957,0.5867412,3.702132,0.5042248,3.375055,0.7778305,4.330086
14.79702,0.5909896,3.746804,0.5085777,3.419269,0.7819582,4.373696
14.89819,0.5954266,3.793267,0.5131433,3.465441,0.786231,4.418712
14.99941,0.5998023,3.840098,0.5176794,3.512071,0.7903762,4.463781
15.09688,0.6040115,3.885269,0.5220724,3.557171,0.7942897,4.506957
15.19807,0.6083778,3.932432,0.5266487,3.604235,0.7983142,4.552001
15.29932,0.6127081,3.979895,0.5312242,3.651466,0.8022159,4.597535
15.39673,0.6168743,4.025711,0.5356372,3.696898,0.8059372,4.641732
15.4979,0.6212161,4.073582,0.5402606,3.744181,0.8097621,4.688226
15.59906,0.6255365,4.121462,0.5448746,3.79131,0.8135353,4.735012
15.69648,0.6297518,4.167789,0.549376,3.836796,0.8172051,4.780496
15.79766,0.6340991,4.215899,0.554024,3.883928,0.8209866,4.827947
15.89879,0.6384714,4.264116,0.5587044,3.931118,0.8247675,4.875606
15.99626,0.6427153,4.310661,0.5632338,3.976573,0.8284637,4.921821
16.09737,0.6471371,4.359022,0.5679579,4.023773,0.8323009,4.969891
16.19846,0.6515824,4.407734,0.5727013,4.07125,0.8361716,5.018378
16.29961,0.6560481,4.456727,0.5774554,4.118878,0.840075,5.06739
16.39706,0.660363,4.504259,0.5820518,4.165144,0.8438445,5.114851
16.49823,0.6648276,4.553708,0.5867985,4.213469,0.847774,5.163932
16.59944,0.6692967,4.603554,0.5915554,4.262405,0.8517029,5.213075
16.6969,0.6735609,4.651781,0.5961019,4.309962,0.8554503,5.260318
16.79808,0.6779706,4.702189,0.600817,4.359901,0.8593026,5.309293
16.89928,0.6823739,4.752752,0.6055299,4.410267,0.8631573,5.357897
16.99677,0.6865565,4.801638,0.6100378,4.45918,0.866752,5.404394
17.09795,0.6908811,4.852426,0.6147169,4.510212,0.8704426,5.452166
17.19906,0.6951607,4.903295,0.6193619,4.561456,0.8740641,5.499661
17.29646,0.6992706,4.952415,0.6238356,4.610985,0.877503,5.545351
17.39761,0.7035261,5.003591,0.6284564,4.662511,0.8810937,5.593021
17.49868,0.7077747,5.054984,0.6330636,4.714073,0.8846708,5.641217
17.59981,0.7120419,5.106669,0.637662,4.765639,0.8883211,5.690269
17.69728,0.7161718,5.156746,0.6420866,4.815333,0.8918997,5.738328
17.79843,0.7204701,5.208997,0.6466663,4.866843,0.8956704,5.78908
17.89956,0.7248395,5.261458,0.6512816,4.918278,0.899572,5.840538
17.99698,0.7290786,5.312298,0.6557376,4.96786,0.9033858,5.890981
18.09816,0.7335133,5.36525,0.6603742,5.019304,0.9074203,5.944008
18.19937,0.738011,5.418504,0.6650459,5.070945,0.9115671,5.99769
18.29671,0.7423359,5.469794,0.6695338,5.120651,0.9155649,6.049624
18.39783,0.746867,5.523329,0.6742189,5.172583,0.9197832,6.103863
18.49891,0.7514103,5.576913,0.6789215,5.22471,0.9240056,6.157985
18.59632,0.755819,5.628789,0.6834826,5.275416,0.9281029,6.209975
18.6974,0.7603967,5.682612,0.6882304,5.328302,0.9323403,6.263379
18.79858,0.764984,5.736441,0.6929904,5.381603,0.9365896,6.316023
18.89976,0.7695628,5.790171,0.6977538,5.435209,0.9408235,6.367768
18.9972,0.7739608,5.841933,0.702344,5.48718,0.9448749,6.416925
19.09834,0.7785595,5.895724,0.707152,5.541419,0.9490976,6.46752
19.19955,0.7831757,5.949538,0.7119851,5.595812,0.953306,6.517836
