Time,CMX1,CMY1,CMX2,CMY2,CMX3,CMY3
19.29698,0.7876462,6.001368,0.7166557,5.648287,0.9573946,6.566146
19.39816,0.7922907,6.054956,0.7215052,5.702691,0.9616416,6.615745
19.49929,0.7969777,6.108549,0.7263884,5.757127,0.9659534,6.665346
19.59672,0.8015447,6.160259,0.7311288,5.809458,0.9701766,6.713461
19.69785,0.8063641,6.214145,0.7361043,5.863698,0.974676,6.764143
19.79899,0.8112763,6.268278,0.7411435,5.917918,0.9793048,6.815645
19.8964,0.8160986,6.320588,0.7460601,5.970068,0.983896,6.865928
19.99756,0.8212242,6.37528,0.7512565,6.024493,0.9888272,6.918791
20.09867,0.8264218,6.430047,0.7564991,6.078987,0.9938807,6.971771
20.1999,0.8317413,6.485102,0.7618338,6.133894,0.9991044,7.024799
20.29727,0.8369581,6.53816,0.7670386,6.18689,1.004271,7.07579
20.39846,0.8424756,6.593489,0.7725072,6.242106,1.009802,7.129103
20.49956,0.8480453,6.64917,0.7780018,6.297532,1.015432,7.183152
20.59694,0.8534934,6.703108,0.7833554,6.351067,1.020974,7.235917
20.69814,0.8592194,6.759625,0.7889608,6.407053,1.026838,7.291549
20.79933,0.8650429,6.816442,0.7946344,6.463371,1.032839,7.347484
20.89681,0.8707345,6.87141,0.8001605,6.517936,1.038739,7.401502
20.99799,0.8767373,6.928685,0.8059608,6.574967,1.045006,7.45752
21.09917,0.8827934,6.985999,0.8117765,6.632178,1.051392,7.51336
21.19659,0.8886981,7.041394,0.8174293,6.687577,1.057649,7.56721
21.29782,0.8948992,7.099072,0.8233519,6.745269,1.064244,7.623349
21.39897,0.9011511,7.156959,0.8293126,6.803135,1.070908,7.679787
21.49638,0.9072311,7.212913,0.835096,6.859039,1.077401,7.734407
21.59744,0.9136059,7.271114,0.8411532,6.91715,1.08422,7.791287
21.69857,0.9200656,7.329524,0.847283,6.975474,1.091139,7.848365
21.79972,0.9266158,7.387945,0.8534929,7.033826,1.098162,7.90539
21.89717,0.9330242,7.444149,0.8595546,7.090065,1.105055,7.960053
21.99834,0.9397458,7.502313,0.8658957,7.148423,1.112324,8.016326
22.09949,0.9465722,7.560161,0.8723132,7.206636,1.119742,8.071981
22.19696,0.953234,7.615803,0.8785627,7.262746,1.126997,8.12535
22.29811,0.960238,7.673463,0.8851124,7.320954,1.13466,8.180618
22.39928,0.967303,7.731157,0.8917051,7.379144,1.142406,8.236135
22.4967,0.9741803,7.786888,0.898111,7.435258,1.149955,8.290074
22.59769,0.9813428,7.844755,0.9047696,7.493479,1.157831,8.346331
22.69879,0.9885499,7.90284,0.911449,7.552013,1.165796,8.402791
22.79999,0.99579,7.961055,0.9181358,7.610879,1.173834,8.459151
22.89737,1.002786,8.017032,0.924577,7.667723,1.181647,8.512955
22.99854,1.010047,8.07518,0.9312465,7.727055,1.189791,8.568413
23.09973,1.017281,8.133488,0.9378747,7.786804,1.197945,8.623542
23.19715,1.024205,8.18971,0.9442126,7.844666,1.205775,8.676219
23.29832,1.031347,8.248359,0.9507497,7.905319,1.213864,8.730616
23.39946,1.038423,8.307323,0.9572323,7.966442,1.221871,8.785072
23.49682,1.045168,8.364565,0.9634281,8.025752,1.22947,8.838038
23.59803,1.052109,8.424682,0.9698242,8.087946,1.237238,8.893889
23.69917,1.05899,8.485253,0.9761857,8.15049,1.244893,8.950421
23.79658,1.065563,8.544006,0.9822826,8.211026,1.252154,9.005512
23.89774,1.072352,8.605425,0.9885993,8.274193,1.25961,9.063351
23.99887,1.079112,8.667185,0.9949078,8.337604,1.266987,9.121767
24.09627,1.085598,8.72702,1.000976,8.398947,1.274029,9.17859
24.1974,1.092304,8.789671,1.00726,8.463087,1.281288,9.238264
24.29855,1.098976,8.852797,1.013519,8.527596,1.288493,9.298625
24.39966,1.105624,8.916221,1.019758,8.592303,1.295662,9.359496
24.49706,1.112003,8.977616,1.025753,8.654854,1.302528,9.418586
24.59813,1.118611,9.041478,1.031968,8.719869,1.309628,9.480174
24.69923,1.125209,9.105371,1.038182,8.784908,1.3167,9.541876
24.79663,1.13157,9.166969,1.044185,8.847651,1.323498,9.60135
24.89771,1.138179,9.231012,1.050431,8.912948,1.330532,9.663125
24.99887,1.14478,9.29528,1.05668,8.978512,1.337535,9.725096
25.09628,1.151135,9.357315,1.062705,9.041808,1.344252,9.784934
25.19746,1.157706,9.42201,1.068941,9.107791,1.351179,9.847372
25.29865,1.164282,9.486952,1.0752,9.173969,1.358073,9.910107
25.39983,1.17086,9.552019,1.081479,9.240178,1.364928,9.973106
25.4972,1.177188,9.614675,1.087535,9.303836,1.371484,10.03393
25.59842,1.18378,9.679811,1.09386,9.369963,1.378278,10.09729
25.69954,1.190365,9.744851,1.100191,9.435994,1.385035,10.16062
25.797,1.196711,9.807526,1.106303,9.499691,1.391526,10.22161
25.89818,1.20329,9.872674,1.112651,9.566018,1.398236,10.28489
25.99938,1.209844,9.938008,1.118991,9.63269,1.404903,10.34813
26.09676,1.216136,10.00102,1.12509,9.697164,1.411288,10.40887
26.19788,1.222644,10.06657,1.131413,9.764408,1.417875,10.47177
26.29898,1.229127,10.1322,1.137729,9.831928,1.424415,10.53446
26.39631,1.235342,10.19551,1.143795,9.897219,1.430672,10.59462
26.4974,1.24176,10.26141,1.150068,9.965343,1.437125,10.65696
26.5985,1.24812,10.32749,1.156292,10.03376,1.443515,10.71923
26.69963,1.25444,10.39373,1.16248,10.10244,1.449858,10.78147
26.797,1.260481,10.45772,1.1684,10.16884,1.455915,10.84145
26.89811,1.266706,10.52444,1.174502,10.23811,1.462152,10.90385
26.99924,1.272891,10.59143,1.180566,10.30767,1.468347,10.96641
27.09666,1.27881,10.6562,1.186365,10.37494,1.474284,11.02682
27.1978,1.284917,10.72366,1.192351,10.44498,1.480415,11.0897
27.29902,1.291,10.79143,1.198309,10.51532,1.486536,11.15285
27.39645,1.296836,10.85689,1.204017,10.58325,1.492426,11.21383
27.49767,1.302871,10.92512,1.209909,10.65401,1.49854,11.2774
27.59882,1.308892,10.99347,1.215774,10.72486,1.504668,11.3411
27.69995,1.314918,11.06194,1.221632,10.79579,1.510824,11.40496
27.79732,1.320719,11.12802,1.22726,10.86417,1.516776,11.46666
27.89842,1.326741,11.19681,1.233092,10.93527,1.522974,11.53098
27.99951,1.332766,11.26574,1.238914,11.00642,1.529201,11.59551
28.09688,1.338563,11.33226,1.244502,11.07497,1.535221,11.65787
28.19792,1.344568,11.40132,1.250276,11.14606,1.541486,11.72271
28.29897,1.350541,11.4704,1.256002,11.21708,1.547756,11.78763
28.39634,1.356276,11.53698,1.261487,11.28549,1.553809,11.85026
28.49748,1.362202,11.60612,1.267142,11.35648,1.560091,11.91536
28.59865,1.368085,11.67525,1.272747,11.42743,1.566351,11.98049
28.69978,1.373891,11.7444,1.278266,11.49843,1.572565,12.04558
28.7972,1.379428,11.81093,1.283524,11.56676,1.57851,12.10817
28.89835,1.385098,11.88001,1.288909,11.63781,1.584614,12.17306
28.99957,1.390675,11.94916,1.29421,11.709,1.590628,12.2379
29.097,1.395945,12.01568,1.299224,11.77754,1.596316,12.30021
29.19823,1.401306,12.08482,1.304333,11.84884,1.602109,12.36487
29.29943,1.406526,12.15398,1.309319,11.92024,1.607759,12.42944
29.39685,1.411405,12.22056,1.31399,11.98909,1.613038,12.4914
29.498,1.416302,12.28962,1.318695,12.06066,1.618329,12.5554
29.59916,1.42102,12.35861,1.323253,12.13238,1.623417,12.61897
29.6966,1.425384,12.42509,1.327495,12.20169,1.628105,12.67982
29.79773,1.429698,12.49424,1.33172,12.27396,1.632714,12.74274
29.89882,1.433801,12.56357,1.335775,12.34659,1.637073,12.80551
29.99993,1.437692,12.63317,1.339666,12.41964,1.641171,12.86824
30.09733,1.441254,12.70048,1.343276,12.49039,1.644871,12.92867
30.19843,1.444752,12.77061,1.346874,12.5642,1.648444,12.99145
30.29957,1.448062,12.84104,1.350332,12.63839,1.651764,13.05431
30.39694,1.451066,12.90917,1.35352,12.7102,1.654718,13.11502
30.49806,1.453997,12.98026,1.356684,12.78513,1.657539,13.17834
30.59921,1.456748,13.05175,1.359703,12.86044,1.660141,13.24208
30.69655,1.459224,13.12088,1.362465,12.9332,1.662444,13.30385
30.79767,1.461626,13.19301,1.365194,13.00901,1.664631,13.36852
30.89883,1.463867,13.26544,1.367782,13.08502,1.666637,13.43369
30.99996,1.465939,13.33809,1.370213,13.16112,1.668465,13.49931
31.09737,1.467783,13.40828,1.372417,13.23452,1.67007,13.56294
31.19848,1.469564,13.48135,1.374585,13.31079,1.671599,13.62941
31.29959,1.471213,13.5546,1.376631,13.38716,1.672993,13.69628
31.39697,1.472664,13.62532,1.378472,13.4608,1.674201,13.76104
31.49807,1.474041,13.6989,1.380263,13.53737,1.675332,13.8286
31.59919,1.475293,13.77268,1.381939,13.6141,1.676341,13.89647
31.69654,1.476381,13.84389,1.383448,13.68815,1.67719,13.96206
31.79762,1.477407,13.91803,1.384931,13.76522,1.677953,14.0304
31.89869,1.478339,13.99234,1.386344,13.8425,1.678603,14.09891
31.99976,1.479177,14.06686,1.387683,13.91999,1.679139,14.16758
32.0971,1.479894,14.13881,1.388902,13.99482,1.679544,14.23387
32.19817,1.480555,14.2137,1.390102,14.07273,1.679873,14.30288
32.29923,1.481125,14.28874,1.391225,14.15078,1.680106,14.37206
32.39652,1.481583,14.36111,1.392228,14.22606,1.68024,14.43886
32.49757,1.481978,14.43641,1.393199,14.30436,1.680304,14.50848
32.59864,1.482297,14.51186,1.394103,14.38281,1.680307,14.57835
32.69968,1.482553,14.58743,1.39495,14.46136,1.680259,14.64847
32.797,1.482746,14.66037,1.39572,14.53713,1.680167,14.71625
32.89805,1.4829,14.73626,1.396483,14.61596,1.680028,14.78688
32.99909,1.482999,14.81232,1.397197,14.69494,1.679845,14.85774
33.09643,1.483049,14.88576,1.397847,14.77119,1.679636,14.9262
33.19751,1.483046,14.9622,1.398471,14.85052,1.67938,14.99749
33.2986,1.482989,15.03877,1.39904,14.92997,1.679096,15.06895
33.39967,1.482895,15.11546,1.399575,15.00951,1.678789,15.14055
33.49699,1.482788,15.18942,1.400082,15.08619,1.678486,15.20967
33.59807,1.482667,15.26635,1.400613,15.16592,1.678162,15.28164
33.69915,1.482536,15.34335,1.401149,15.2457,1.677832,15.35374
33.79649,1.482403,15.41753,1.401665,15.32257,1.677519,15.42326
33.89755,1.48225,15.49454,1.402194,15.40237,1.677197,15.49547
33.99855,1.482082,15.57153,1.402714,15.48215,1.676876,15.56772
34.0996,1.481922,15.64856,1.403243,15.56199,1.676594,15.64006
34.19695,1.481782,15.7228,1.403767,15.63892,1.67637,15.70983
34.29808,1.481672,15.79996,1.404344,15.71889,1.676202,15.78239
34.39921,1.481623,15.87714,1.404969,15.79887,1.676131,15.85502
34.49658,1.481644,15.95148,1.405629,15.87591,1.676173,15.92506
34.59765,1.481735,16.02865,1.406369,15.95586,1.676332,15.99782
34.69873,1.48192,16.10573,1.407188,16.0357,1.676636,16.0705
34.79978,1.482198,16.18261,1.408079,16.11535,1.677094,16.14303
34.89712,1.482589,16.25649,1.409034,16.19189,1.677723,16.21273
34.99819,1.483142,16.33297,1.410141,16.27113,1.678586,16.28491
35.09926,1.483874,16.40919,1.411389,16.3501,1.679708,16.35689
35.19657,1.484774,16.48231,1.412748,16.42586,1.681073,16.42603
35.29762,1.485954,16.55797,1.414358,16.50422,1.682839,16.49772
35.39869,1.487411,16.63331,1.416192,16.58221,1.684987,16.56933
35.49976,1.489191,16.70827,1.418289,16.65973,1.687563,16.6408
35.5971,1.49125,16.78007,1.420593,16.73389,1.690493,16.70955
35.69818,1.493813,16.85426,1.42335,16.81039,1.69407,16.78095
35.79926,1.496864,16.92816,1.426528,16.88645,1.698243,16.8525
35.89662,1.500291,16.9992,1.430014,16.95939,1.702841,16.9217
35.99772,1.504388,17.07295,1.43411,17.03494,1.708232,16.99396
36.09884,1.509064,17.14685,1.438729,17.1105,1.714275,17.0667
36.19996,1.514325,17.22111,1.443886,17.1863,1.720964,17.14003
36.29736,1.51995,17.29314,1.449367,17.25973,1.728011,17.21131
36.3985,1.526367,17.36852,1.455592,17.33649,1.735952,17.28601
36.49962,1.533371,17.44452,1.462364,17.4138,1.744535,17.36138
36.59701,1.540641,17.51829,1.469376,17.48879,1.753375,17.43459
36.69814,1.54873,17.59543,1.477162,17.56716,1.763136,17.51121
36.79928,1.557363,17.67316,1.485458,17.64609,1.773488,17.58842
36.89664,1.566165,17.74851,1.4939,17.72258,1.784006,17.66322
36.99777,1.575812,17.8273,1.503137,17.80256,1.795496,17.7414
37.0989,1.585943,17.90666,1.512827,17.88314,1.807525,17.82005
37.19628,1.596142,17.98351,1.522569,17.96121,1.819607,17.89614
37.29741,1.607224,18.06368,1.533149,18.04268,1.832684,17.97545
37.39862,1.61881,18.14418,1.544209,18.1245,1.846299,18.05512
37.49978,1.630894,18.22499,1.555742,18.20664,1.860426,18.1351
37.59718,1.643,18.30312,1.567299,18.28608,1.874516,18.21238
37.69832,1.65603,18.38462,1.579737,18.36898,1.889641,18.2929
37.79947,1.669546,18.46649,1.592641,18.45227,1.905274,18.37373
37.89686,1.682983,18.54561,1.605476,18.53275,1.920759,18.45185
37.99803,1.697365,18.62805,1.619219,18.61661,1.937269,18.53327
38.09916,1.712193,18.71072,1.633403,18.70068,1.954202,18.61504
38.19655,1.726892,18.79052,1.647484,18.78177,1.970898,18.69409
38.29767,1.742545,18.87366,1.662491,18.86624,1.988606,18.77654
38.3988,1.75854,18.95727,1.67783,18.95117,2.006663,18.85945
38.49992,1.77493,19.04124,1.693565,19.03638,2.025097,18.94285
38.59732,1.791121,19.12223,1.709129,19.11848,2.043188,19.02358
38.69844,1.808264,19.20683,1.725605,19.2042,2.062308,19.10803
38.79957,1.825703,19.29207,1.742364,19.29051,2.081731,19.19321
38.89695,1.842846,19.37446,1.758847,19.37383,2.100743,19.27585
38.99805,1.861132,19.46026,1.776448,19.46045,2.120904,19.36229
39.09916,1.879828,19.54639,1.794471,19.54724,2.141405,19.44942
39.19654,1.898293,19.62968,1.812295,19.63099,2.161583,19.53399
39.29764,1.917983,19.7163,1.831356,19.71788,2.18294,19.62237
39.39874,1.938234,19.80311,1.851006,19.80474,2.204768,19.7114
39.49983,1.959006,19.89026,1.871198,19.89174,2.227036,19.80111
39.59718,1.979421,19.97472,1.891028,19.97598,2.248907,19.8882
39.69828,2.000969,20.0631,1.9119,20.06415,2.272062,19.97934
39.79936,2.022876,20.15217,1.933028,20.15308,2.295683,20.07117
39.89671,2.04434,20.23846,1.953671,20.2392,2.31883,20.16025
39.9978,2.067108,20.32848,1.975565,20.32898,2.343329,20.25341
